country_code,indicator,year,value
SUR,WHOSIS_000001,2021,69.78412349
GLOBAL,WHOSIS_000001,2004,67.95251087
WB_LI,WHOSIS_000001,2002,55.01066748
COG,WHOSIS_000001,2015,62.05475682
CZE,WHOSIS_000001,2011,77.78639074
SLV,WHOSIS_000001,2005,73.40349475
MDA,WHOSIS_000001,2006,66.7168869
KGZ,WHOSIS_000001,2016,72.67043609
UGA,WHOSIS_000001,2020,66.29850916
KIR,WHOSIS_000001,2019,62.13784891
MWI,WHOSIS_000001,2015,61.82512095
HRV,WHOSIS_000001,2004,75.62048664
AGO,WHOSIS_000001,2004,52.3558271
SVN,WHOSIS_000001,2015,80.46318817
CPV,WHOSIS_000001,2008,73.93039416
TTO,WHOSIS_000001,2006,72.20904818
CIV,WHOSIS_000001,2000,51.16878476
GRC,WHOSIS_000001,2012,80.23315335
POL,WHOSIS_000001,2000,73.69538073
EST,WHOSIS_000001,2015,77.63428878
NIC,WHOSIS_000001,2018,78.45090354
WB_LI,WHOSIS_000001,2015,62.58328954
CAF,WHOSIS_000001,2008,48.29879732
URY,WHOSIS_000001,2002,75.11068373
NER,WHOSIS_000001,2008,57.32288169
GHA,WHOSIS_000001,2014,63.96496972
LBN,WHOSIS_000001,2010,77.96731586
LBR,WHOSIS_000001,2005,57.55945739
TJK,WHOSIS_000001,2021,71.814877
ROU,WHOSIS_000001,2015,74.90936922
NPL,WHOSIS_000001,2014,70.19243321
VNM,WHOSIS_000001,2013,72.83984641
MNE,WHOSIS_000001,2012,76.17609575
ROU,WHOSIS_000001,2009,73.44267621
CAF,WHOSIS_000001,2019,52.93260744
BGR,WHOSIS_000001,2002,72.11466914
TUN,WHOSIS_000001,2009,76.07616117
SDN,WHOSIS_000001,2017,69.04016145
EGY,WHOSIS_000001,2006,69.56785371
PRI,WHOSIS_000001,2005,77.60317033
LAO,WHOSIS_000001,2014,66.43037564
LBY,WHOSIS_000001,2005,74.01467345
SWZ,WHOSIS_000001,2014,50.93411451
ZWE,WHOSIS_000001,2010,51.41783245
AGO,WHOSIS_000001,2005,53.34585395
BDI,WHOSIS_000001,2006,54.95514765
BFA,WHOSIS_000001,2006,55.97968949
TJK,WHOSIS_000001,2015,72.37216019
AUS,WHOSIS_000001,2018,83.02313357
GTM,WHOSIS_000001,2009,70.84468993
GLOBAL,WHOSIS_000001,2020,72.45043871
AUS,WHOSIS_000001,2015,82.287472
AUS,WHOSIS_000001,2008,81.32192176
EMR,WHOSIS_000001,2001,65.64591089
RWA,WHOSIS_000001,2013,66.2811484
PER,WHOSIS_000001,2003,76.35423675
IRQ,WHOSIS_000001,2015,71.00605468
CHE,WHOSIS_000001,2012,82.39224777
EMR,WHOSIS_000001,2007,67.21417049
SEN,WHOSIS_000001,2003,60.79093407
KGZ,WHOSIS_000001,2011,69.54394591
BLR,WHOSIS_000001,2016,73.8924593
HTI,WHOSIS_000001,2004,57.54298421
GAB,WHOSIS_000001,2014,63.76784225
WB_LI,WHOSIS_000001,2005,57.38958544
STP,WHOSIS_000001,2011,69.19904607
VNM,WHOSIS_000001,2021,73.7965773
LBY,WHOSIS_000001,2021,72.17844009
JOR,WHOSIS_000001,2017,79.14251842
ARE,WHOSIS_000001,2016,80.78348374
NOR,WHOSIS_000001,2001,78.74570455
GUY,WHOSIS_000001,2002,64.62860972
SOM,WHOSIS_000001,2020,55.12925544
AZE,WHOSIS_000001,2004,67.38631087
NAM,WHOSIS_000001,2010,60.12459181
LTU,WHOSIS_000001,2015,74.36612877
CYP,WHOSIS_000001,2012,81.61972744
FSM,WHOSIS_000001,2005,64.2139938
PER,WHOSIS_000001,2021,71.66727055
STP,WHOSIS_000001,2016,70.89699364
TZA,WHOSIS_000001,2011,62.26370092
ZAF,WHOSIS_000001,2001,55.86714584
SYC,WHOSIS_000001,2016,73.07491735
GRD,WHOSIS_000001,2018,72.78877041
DOM,WHOSIS_000001,2001,73.59849431
DEU,WHOSIS_000001,2021,80.49140555
SRB,WHOSIS_000001,2001,72.28188573
AUT,WHOSIS_000001,2010,80.39157197
PRY,WHOSIS_000001,2013,75.03958612
VCT,WHOSIS_000001,2011,73.21012386
USA,WHOSIS_000001,2019,78.73923827
TJK,WHOSIS_000001,2016,72.72427435
POL,WHOSIS_000001,2013,76.86531254
QAT,WHOSIS_000001,2003,70.55987989
ZAF,WHOSIS_000001,2013,62.08498269
MEX,WHOSIS_000001,2013,75.92944746
GHA,WHOSIS_000001,2018,65.51554359
PER,WHOSIS_000001,2014,80.00001335
CHE,WHOSIS_000001,2015,82.58994495
LAO,WHOSIS_000001,2011,65.03889894
AUT,WHOSIS_000001,2005,79.32619587
GUY,WHOSIS_000001,2013,66.2421095
CUB,WHOSIS_000001,2017,77.65330792
CHN,WHOSIS_000001,2014,76.19910536
LVA,WHOSIS_000001,2021,73.20251724
LUX,WHOSIS_000001,2016,82.55544194
PRK,WHOSIS_000001,2014,71.13791927
SVK,WHOSIS_000001,2004,74.14711692
IDN,WHOSIS_000001,2015,70.53899644
CUB,WHOSIS_000001,2004,77.44558258
PRY,WHOSIS_000001,2009,74.78626703
PAK,WHOSIS_000001,2012,64.82124843
BLZ,WHOSIS_000001,2007,73.05180238
PRK,WHOSIS_000001,2011,70.26241873
AFR,WHOSIS_000001,2002,53.8387504
MWI,WHOSIS_000001,2014,61.34710538
LAO,WHOSIS_000001,2007,62.60763355
USA,WHOSIS_000001,2015,78.61058161
CUB,WHOSIS_000001,2011,78.52888871
JAM,WHOSIS_000001,2021,70.1439437
LUX,WHOSIS_000001,2004,79.25868688
BGD,WHOSIS_000001,2001,65.95954098
ROU,WHOSIS_000001,2013,75.00346495
EST,WHOSIS_000001,2019,78.89055582
MEX,WHOSIS_000001,2006,75.33649525
GNQ,WHOSIS_000001,2006,57.74387549
