country,country_code,indicator,year,value
Nigeria,NGA,SP.POP.TOTL,2004,141057045.0
Nigeria,NGA,SP.POP.TOTL,2003,137202644.0
Nigeria,NGA,SP.POP.TOTL,2002,133471989.0
Nigeria,NGA,SP.POP.TOTL,2001,129862595.0
Nigeria,NGA,SP.POP.TOTL,2000,126382494.0
Nigeria,NGA,SP.POP.TOTL,1999,123047320.0
Nigeria,NGA,SP.POP.TOTL,1998,119846254.0
Nigeria,NGA,SP.POP.TOTL,1997,116754792.0
Nigeria,NGA,SP.POP.TOTL,1996,113754779.0
Nigeria,NGA,SP.POP.TOTL,1995,110819428.0
Nigeria,NGA,SP.POP.TOTL,1994,107935714.0
Nigeria,NGA,SP.POP.TOTL,1993,105122069.0
Nigeria,NGA,SP.POP.TOTL,1992,102372770.0
Nigeria,NGA,SP.POP.TOTL,1991,99720162.0
Nigeria,NGA,SP.POP.TOTL,1990,97120925.0
Nigeria,NGA,SP.POP.TOTL,1989,94531014.0
Nigeria,NGA,SP.POP.TOTL,1988,92020090.0
Nigeria,NGA,SP.POP.TOTL,1987,89591716.0
Nigeria,NGA,SP.POP.TOTL,1986,87235953.0
